Formula,formula_embedding,Volume,Density,Formation_Energy_per_atom,Energy_Above_Hull,Band_Gap_eV
TbCO3,"[0.4891, -0.215, -0.2172, -0.8497, -0.5501, 1.0784, -0.0004, 0.5573]",209.9506628,6.926367754,-2.761193981,0.025822064,4.0554
BaSO3,"[-0.5144, -0.2499, 0.0969, -0.5617, 0.0318, 0.5706, 0.3098, 0.7313]",171.0619808,4.220516074,-2.599932526,0.069425328,4.4264
CsClO3,"[-0.0089, -0.1331, 0.1905, -1.2965, -0.4524, 1.1735, -0.1955, 0.3313]",236.1465029,3.0427609,-1.154319856,0.064891695,5.5682
TlPO3,"[-0.3203, -0.3258, 0.0943, -0.427, -0.3175, 1.0488, 0.3705, 0.2793]",638.7158328,5.893356114,-2.257728706,0,3.6726
NdZrO3,"[0.092, -0.2647, 0.2795, -0.8813, -0.5363, 0.9661, -0.1853, 0.3182]",310.4431765,6.064921553,-3.563446996,0.086092309,0.0509
LaIO3,"[-0.1938, -0.2469, -0.0318, -0.9297, -0.0626, 0.8102, -0.2932, 0.485]",196.1072781,5.314343056,-2.260693369,0.098233926,0.7893
LiVO3,"[0.2652, -0.3338, -0.7725, -1.1149, 0.2346, 0.9394, 0.051, 0.7206]",104.8982702,3.352181852,-2.345197422,0.082759272,0.0002
MnNiO3,"[0.2366, -0.1998, -0.3361, -1.4784, -0.013, 0.6339, 0.2506, 0.1043]",113.1675106,4.743275492,-1.365809643,0.253462698,0
MnCoO3,"[0.1256, -0.7965, -0.458, -1.3838, -0.4598, 0.8146, -0.0803, 0.0842]",105.4698898,5.09700976,-1.559977507,0.089941379,0
FeBiO3,"[-0.0747, -0.5475, -0.1745, -0.936, -0.0089, 0.85, 0.4138, 0.4769]",379.3144417,8.21675768,-1.617998023,0.056411261,1.6433
KPO3,"[-0.0671, -0.0079, -0.0457, -0.6333, 0.0025, 0.9178, 0.0371, 0.315]",201.7940813,1.943171786,-2.439726506,0.245941546,3.3136
LaMnO3,"[0.1972, -0.3807, -0.336, -1.3283, -0.2073, 0.7632, -0.016, 0.544]",248.5359754,6.463251287,-2.959400331,0.17586447,0
BaCoO3,"[-0.3011, -0.6952, -0.1, -1.0913, -0.6087, 0.8309, 0.058, 0.0737]",275.3943445,5.891197337,-2.046802817,0.001055195,1.1424
SrMoO3,"[0.1979, -0.3609, -0.3097, -1.27, -0.6706, 1.3377, 0.191, 0.4331]",135.0425979,5.69466884,-2.596938716,0,1.3088
NbCuO3,"[0.7645, -0.7025, -0.6085, -0.731, -0.1518, 1.1024, 0.439, 0.1653]",279.194738,4.863962376,-2.299577139,0.017718185,0.959
BaPbO3,"[-0.0449, -0.3483, 0.329, -0.7183, -0.0633, 0.6685, 0.7377, 0.6294]",165.4915487,7.877180851,-2.108798318,5.18E-05,0.1934
TiMnO3,"[-0.304, -0.2767, -0.0527, -1.3602, 0.0957, 0.5684, 0.3971, 0.7768]",113.8384381,4.399474972,-2.755133414,0.199470642,1.3274
BaBiO3,"[-0.079, -0.0938, 0.0319, -0.8856, -0.4347, 0.6316, 0.7589, 0.2101]",167.3116005,7.826831504,-2.233409577,1.74E-05,0
MgCO3,"[0.6102, -0.247, -0.3357, -0.8398, -0.5734, 1.0045, -0.1272, 0.0819]",546.658886,3.073357706,-2.127382018,0.314648657,4.8023
RbTaO3,"[0.2191, -0.2047, 0.1461, -1.1661, 0.4649, 0.4184, 0.0742, 0.0996]",333.9864739,6.252906299,-3.032331979,0,3.5412
SrCO3,"[0.3602, -0.3874, -0.2407, -0.8845, -0.7201, 0.839, 0.0166, 0.3136]",140.8457942,3.481020604,-2.662804632,0.036157646,4.2823
BaIrO3,"[-0.182, -0.2029, -0.3047, -0.6411, -0.4717, 0.97, 0.0048, 0.5733]",427.2163394,8.804769593,-2.006859299,0.016256119,0
PdSeO3,"[0.6469, -0.1463, -0.3684, -0.7759, 0.023, 0.4527, -0.453, 1.0343]",151.6845622,5.10973052,-1.028225301,0.004668684,0.8236
BaCO3,"[0.1394, -0.2535, -0.0633, -0.6112, -0.5771, 0.7001, 0.0552, 0.2329]",167.4391229,3.914066981,-2.649013353,0.033765908,4.0287
LiFeO3,"[-0.0584, -0.8362, -0.5074, -1.1017, 0.4741, 0.9854, -0.1637, 0.8072]",108.3022063,3.397188264,-1.392491345,0.172300805,0.1985
LiVO3,"[0.2652, -0.3338, -0.7725, -1.1149, 0.2346, 0.9394, 0.051, 0.7206]",109.4813377,3.211854045,-2.316607729,0.111348965,2.0933
LiNbO3,"[0.4864, -0.5245, -0.8276, -0.9403, 0.1834, 1.1385, -0.0169, 0.3342]",125.0137889,3.927620523,-2.844351482,0.05516617,3.4857
TaCuO3,"[0.718, -0.412, -0.3244, -0.7715, 0.1657, 0.7983, 0.5027, 0.2939]",281.3230122,6.905862719,-2.502865663,0.03308016,1.5612
RbNbO3,"[0.2657, -0.4952, -0.138, -1.1256, 0.1474, 0.7225, 0.0105, -0.029]",351.06995,4.28290921,-2.814731651,0.024319368,2.8197
LiSbO3,"[0.0804, -0.1814, -0.4211, -1.0608, 0.3342, 0.817, -0.1092, 0.6407]",116.9606237,5.017345415,-2.059622313,0.058571784,2.9459
LiFeO3,"[-0.0584, -0.8362, -0.5074, -1.1017, 0.4741, 0.9854, -0.1637, 0.8072]",96.44365165,3.81490101,-1.132933876,0.431858274,0
